	id	title	all_artists	popularity	release_date	genre	danceability	energy	key	loudness	mode	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature
142	4igIYHF3B5VBxEafHauVo3	Fat Bottomed Girls - Remastered 2011	Queen	69	1978-11-10	{'glam rock', 'classic rock', 'rock'}	0.337	0.684	2	-7.674	1	0.0319	6.57e-06	0.342	0.404	88.772	255600	4
143	5vpfRHcdjR9RBkXUziWoJV	Sloom	Of Monsters and Men	37	2012-01-01	{'folk-pop', 'modern rock', 'metropopolis', 'stomp and holler'}	0.479	0.411	1	-8.833	1	0.557	0.000528	0.0797	0.316	89.782	283947	4
144	3AF6JW5zzVmSkQWIKMVYqh	Stuck In Gravity	Of Monsters and Men	41	2019-07-26	{'folk-pop', 'modern rock', 'metropopolis', 'stomp and holler'}	0.495	0.546	11	-8.878	1	0.0182	5.26e-06	0.067	0.205	90.067	264227	4
145	3Lfsq0q1GQLRxi7V4hqzLp	What Goes Up	Watsky	0	2019-01-11	{'abstract hip hop', 'comic', 'indie pop rap', 'nerdcore'}	0.651	0.564	2	-8.011	1	0.0268	0.0	0.187	0.208	85.901	162400	4
146	1Y2Jh9e3iRjsOGNswyWVzY	Massenet: Thaïs, Act 2: Méditation	Prague Philharmonia	33	2017-01-13	{'french opera', 'french romanticism', 'opera', 'post-romantic era', 'orchestra', 'classical', 'symfonicky orchestr', 'american classical piano'}	0.337	0.0124	4	-29.369	0	0.993	0.874	0.081	0.0485	96.742	317773	3
147	1w1vmGM5nzNsQviR9dC4Sc	Ukiyo	RIOPY	45	2019-09-27	{'neo-classical'}	0.439	0.0561	9	-23.791	0	0.99	0.909	0.0695	0.105	159.984	235107	4
148	5RPiBNQVmuEm7YlVVotrLa	Your Time Is Gonna Come - Remaster	Led Zeppelin	52	1969-01-12	{'classic rock', 'hard rock', 'album rock', 'rock'}	0.328	0.575	7	-10.437	1	0.351	0.000556	0.688	0.249	149.645	274694	4
149	4JtvyWkWQTPVcroZf8JJkp	Heart of Courage	Two Steps from Hell	68	2010-05-03	{'orchestral soundtrack', 'epicore'}	0.403	0.591	1	-8.126	1	0.511	0.896	0.108	0.192	135.047	117395	4
150	4THoSHxiabL1rd59iVWu2T	Cold Coffee	Ed Sheeran	52	2014-06-23	{'singer-songwriter pop', 'uk pop', 'pop'}	0.544	0.529	6	-6.753	1	0.453	0.0	0.131	0.403	92.936	254227	4
151	0SaopEgTo6O5dJoFXBbulL	Friends Will Be Friends - Remastered 2011	Queen	47	1986-06-02	{'glam rock', 'classic rock', 'rock'}	0.442	0.532	4	-7.721	0	0.0377	1.43e-05	0.336	0.352	75.034	246907	3
152	5hYmQRY9XV2ZctgvIAbqBA	New York	RIOPY	0	2017-07-14	{'neo-classical'}	0.21	0.21	4	-17.916	1	0.96	0.885	0.11	0.0395	165.257	210760	4
153	3Mc9PmuAGNevSiKMZsGKtA	You've Got A Friend In Me	Joshua Redman	34	2011-01-01	{'straight-ahead jazz', 'jazz', 'contemporary jazz', 'jazz saxophone', 'contemporary post-bop'}	0.702	0.192	0	-11.689	0	0.822	0.702	0.142	0.368	129.06	235333	4
154	16EyUKbpib1iHyV3qa0HYH	Doing All Right - BBC Session / February 5th 1973, Langham 1 Studio	Queen	18	2016-10-21	{'glam rock', 'classic rock', 'rock'}	0.37	0.303	9	-12.881	1	0.392	6.68e-05	0.0928	0.346	94.245	251840	4
155	49cwPSsc6btfr0uPrxtDWZ	Summer Waltz	Clarence Öfwerman	27	2018-08-22	{'focus'}	0.59	0.0913	4	-19.751	0	0.995	0.962	0.128	0.429	78.09	222061	4
156	5phLXp2XdLBwLuftxbGe2T	On an Evening in Roma (Sott'er Celo de Roma)	Michael Bublé	0	2016-09-23	{'jazz pop', 'lounge', 'canadian pop', 'adult standards'}	0.431	0.334	6	-7.645	1	0.684	2.89e-06	0.119	0.658	137.021	162520	4
157	4BP3uh0hFLFRb5cjsgLqDh	Fortunate Son	Creedence Clearwater Revival	86	1969-11-02	{'swamp rock', 'country rock', 'classic rock', 'southern rock', 'rock'}	0.64	0.663	0	-7.516	1	0.201	0.00806	0.152	0.663	132.77	140773	4
158	5DnT9a5IM3eMjKgXTWVJvi	Have You Ever Seen The Rain	Creedence Clearwater Revival	67	1970-12-07	{'swamp rock', 'country rock', 'classic rock', 'southern rock', 'rock'}	0.743	0.47	0	-13.154	1	0.0936	3.15e-05	0.186	0.89	116.122	160333	4
159	1rbieHTuGFWstwVk9o7Fgr	Banana Man	Tally Hall	59	2005-10-24	{'pov: indie', 'ann arbor indie'}	0.541	0.59	2	-8.602	1	0.397	2.6e-05	0.145	0.132	113.158	249800	4
160	6hcJNCMr2QYYz7EjN31TlM	So This Is Love	Selah Sue	39	2017-11-10	{'belgian pop', 'neo soul'}	0.666	0.27	8	-8.529	1	0.6	0.000114	0.0886	0.44	96.857	200427	4
161	4o6BgsqLIBViaGVbx5rbRk	You Make My Dreams (Come True)	Daryl Hall & John Oates	82	1980	{'soft rock', 'heartland rock', 'classic rock', 'album rock', 'mellow gold', 'singer-songwriter', 'yacht rock', 'rock'}	0.751	0.501	5	-12.151	1	0.234	0.112	0.0467	0.902	167.057	190627	4
162	0aNyZsNQZykSvoiwrjhBFB	Hemet Pine Singer	Will Stratton	23	2012-11-13	set()	0.358	0.232	6	-13.803	0	0.956	0.896	0.106	0.0742	121.937	229853	4
163	3HTh7uGks6NLz92ktXjXQZ	Only Mortal	Peter Dahlgren	14	2017-02-16	set()	0.375	0.266	9	-11.642	0	0.936	0.801	0.0751	0.0389	148.368	279533	4
164	6FfdbDMgOWLVg8Ay3m2WGR	If I Didn't Care	The Ink Spots	0	2009	{'vocal harmony group', 'lounge'}	0.441	0.132	11	-16.601	0	0.993	0.00102	0.135	0.323	88.151	186400	4
165	1NV6sCADgcLSW7DG7zSWlq	Ten Years Gone - 1990 Remaster	Led Zeppelin	0	1975-02-24	{'classic rock', 'hard rock', 'album rock', 'rock'}	0.544	0.4	2	-12.504	1	0.526	0.0378	0.0716	0.264	76.982	391400	4
166	779yzSKfuVgQhwS5Kuj247	Dead Roots Stirring	Elder	36	2011-09-06	{'progressive doom', 'post-metal', 'sludge metal', 'stoner rock', 'stoner metal', 'modern hard rock', 'boston metal'}	0.25	0.859	7	-7.013	1	1.54e-05	0.664	0.26	0.449	119.922	719917	4
167	0aBBIonGDbOcEyntUARrUV	Gemini	Elder	43	2011-09-06	{'progressive doom', 'post-metal', 'sludge metal', 'stoner rock', 'stoner metal', 'modern hard rock', 'boston metal'}	0.183	0.876	2	-5.52	0	4.51e-05	0.0162	0.209	0.222	126.214	580238	4
168	6mvPYBSid1qSSERWmTHA8E	Ser Proletius Returns	Gloryhammer	0	2015-09-25	{'british power metal', 'symphonic metal', 'comic metal', 'fantasy metal', 'power metal', 'scottish metal'}	0.177	0.274	10	-11.959	1	0.703	0.857	0.118	0.117	122.697	298173	3
